id_code,experiment,plate,well,sirna,experiment_type,dataset
HEPG2-01_1_F20,HEPG2-01,1,F20,239,HEPG2,train
HEPG2-01_1_F21,HEPG2-01,1,F21,604,HEPG2,train
HEPG2-01_1_F23,HEPG2-01,1,F23,155,HEPG2,train
HEPG2-01_1_G02,HEPG2-01,1,G02,5,HEPG2,train
HEPG2-01_1_G03,HEPG2-01,1,G03,48,HEPG2,train
HEPG2-01_1_G04,HEPG2-01,1,G04,1062,HEPG2,train
HEPG2-01_1_G05,HEPG2-01,1,G05,884,HEPG2,train
HEPG2-01_1_G06,HEPG2-01,1,G06,825,HEPG2,train
HEPG2-01_1_G07,HEPG2-01,1,G07,798,HEPG2,train
HEPG2-01_1_G08,HEPG2-01,1,G08,914,HEPG2,train
HEPG2-01_1_G09,HEPG2-01,1,G09,1025,HEPG2,train
HEPG2-01_1_G10,HEPG2-01,1,G10,624,HEPG2,train
HEPG2-01_1_G11,HEPG2-01,1,G11,939,HEPG2,train
HEPG2-01_1_G12,HEPG2-01,1,G12,938,HEPG2,train
HEPG2-01_1_G13,HEPG2-01,1,G13,88,HEPG2,train
HEPG2-01_1_G14,HEPG2-01,1,G14,1096,HEPG2,train
HEPG2-01_1_G15,HEPG2-01,1,G15,46,HEPG2,train
HEPG2-01_1_G16,HEPG2-01,1,G16,417,HEPG2,train
HEPG2-01_1_G17,HEPG2-01,1,G17,910,HEPG2,train
HEPG2-01_1_G18,HEPG2-01,1,G18,268,HEPG2,train
HEPG2-01_1_G19,HEPG2-01,1,G19,744,HEPG2,train
HEPG2-01_1_G20,HEPG2-01,1,G20,1006,HEPG2,train
HEPG2-01_1_G21,HEPG2-01,1,G21,606,HEPG2,train
HEPG2-01_1_G22,HEPG2-01,1,G22,172,HEPG2,train
HEPG2-01_1_G23,HEPG2-01,1,G23,506,HEPG2,train
HEPG2-01_1_H02,HEPG2-01,1,H02,760,HEPG2,train
HEPG2-01_1_H04,HEPG2-01,1,H04,1013,HEPG2,train
HEPG2-01_1_H05,HEPG2-01,1,H05,77,HEPG2,train
HEPG2-01_1_H06,HEPG2-01,1,H06,1101,HEPG2,train
HEPG2-01_1_H08,HEPG2-01,1,H08,56,HEPG2,train
HEPG2-01_1_H09,HEPG2-01,1,H09,699,HEPG2,train
HEPG2-01_1_H10,HEPG2-01,1,H10,1065,HEPG2,train
HEPG2-01_1_H12,HEPG2-01,1,H12,847,HEPG2,train
HEPG2-01_1_H13,HEPG2-01,1,H13,348,HEPG2,train
HEPG2-01_1_H14,HEPG2-01,1,H14,1008,HEPG2,train
HEPG2-01_1_H16,HEPG2-01,1,H16,845,HEPG2,train
HEPG2-01_1_H17,HEPG2-01,1,H17,102,HEPG2,train
HEPG2-01_1_H18,HEPG2-01,1,H18,3,HEPG2,train
HEPG2-01_1_H20,HEPG2-01,1,H20,543,HEPG2,train
HEPG2-01_1_H21,HEPG2-01,1,H21,734,HEPG2,train
HEPG2-01_1_H23,HEPG2-01,1,H23,897,HEPG2,train
HEPG2-01_1_I02,HEPG2-01,1,I02,626,HEPG2,train
HEPG2-01_1_I03,HEPG2-01,1,I03,192,HEPG2,train
HEPG2-01_1_I04,HEPG2-01,1,I04,112,HEPG2,train
HEPG2-01_1_I05,HEPG2-01,1,I05,489,HEPG2,train
HEPG2-01_1_I06,HEPG2-01,1,I06,1027,HEPG2,train
HEPG2-01_1_I07,HEPG2-01,1,I07,195,HEPG2,train
HEPG2-01_1_I08,HEPG2-01,1,I08,868,HEPG2,train
HEPG2-01_1_I09,HEPG2-01,1,I09,59,HEPG2,train
HEPG2-01_1_I10,HEPG2-01,1,I10,689,HEPG2,train
HEPG2-01_1_I11,HEPG2-01,1,I11,126,HEPG2,train
HEPG2-01_1_I12,HEPG2-01,1,I12,26,HEPG2,train
HEPG2-01_1_I13,HEPG2-01,1,I13,1039,HEPG2,train
HEPG2-01_1_I14,HEPG2-01,1,I14,295,HEPG2,train
HEPG2-01_1_I15,HEPG2-01,1,I15,258,HEPG2,train
HEPG2-01_1_I16,HEPG2-01,1,I16,301,HEPG2,train
HEPG2-01_1_I17,HEPG2-01,1,I17,891,HEPG2,train
HEPG2-01_1_I18,HEPG2-01,1,I18,372,HEPG2,train
HEPG2-01_1_I19,HEPG2-01,1,I19,566,HEPG2,train
HEPG2-01_1_I20,HEPG2-01,1,I20,764,HEPG2,train
HEPG2-01_1_I21,HEPG2-01,1,I21,133,HEPG2,train
HEPG2-01_1_I22,HEPG2-01,1,I22,890,HEPG2,train
HEPG2-01_1_I23,HEPG2-01,1,I23,806,HEPG2,train
HEPG2-01_1_J02,HEPG2-01,1,J02,309,HEPG2,train
HEPG2-01_1_J04,HEPG2-01,1,J04,811,HEPG2,train
HEPG2-01_1_J05,HEPG2-01,1,J05,1106,HEPG2,train
HEPG2-01_1_J06,HEPG2-01,1,J06,105,HEPG2,train
HEPG2-01_1_J08,HEPG2-01,1,J08,810,HEPG2,train
HEPG2-01_1_J09,HEPG2-01,1,J09,532,HEPG2,train
HEPG2-01_1_J10,HEPG2-01,1,J10,1076,HEPG2,train
HEPG2-01_1_J12,HEPG2-01,1,J12,676,HEPG2,train
HEPG2-01_1_J13,HEPG2-01,1,J13,889,HEPG2,train
HEPG2-01_1_J14,HEPG2-01,1,J14,388,HEPG2,train
HEPG2-01_1_J16,HEPG2-01,1,J16,94,HEPG2,train
HEPG2-01_1_J17,HEPG2-01,1,J17,287,HEPG2,train
HEPG2-01_1_J18,HEPG2-01,1,J18,605,HEPG2,train
HEPG2-01_1_J20,HEPG2-01,1,J20,411,HEPG2,train
HEPG2-01_1_J21,HEPG2-01,1,J21,431,HEPG2,train
HEPG2-01_1_J23,HEPG2-01,1,J23,565,HEPG2,train
HEPG2-01_1_K02,HEPG2-01,1,K02,881,HEPG2,train
HEPG2-01_1_K03,HEPG2-01,1,K03,256,HEPG2,train
HEPG2-01_1_K04,HEPG2-01,1,K04,281,HEPG2,train
HEPG2-01_1_K05,HEPG2-01,1,K05,181,HEPG2,train
HEPG2-01_1_K06,HEPG2-01,1,K06,582,HEPG2,train
HEPG2-01_1_K07,HEPG2-01,1,K07,559,HEPG2,train
HEPG2-01_1_K08,HEPG2-01,1,K08,853,HEPG2,train
HEPG2-01_1_K09,HEPG2-01,1,K09,797,HEPG2,train
HEPG2-01_1_K10,HEPG2-01,1,K10,1041,HEPG2,train
HEPG2-01_1_K11,HEPG2-01,1,K11,224,HEPG2,train
HEPG2-01_1_K12,HEPG2-01,1,K12,765,HEPG2,train
HEPG2-01_1_K13,HEPG2-01,1,K13,481,HEPG2,train
HEPG2-01_1_K14,HEPG2-01,1,K14,89,HEPG2,train
HEPG2-01_1_K15,HEPG2-01,1,K15,366,HEPG2,train
HEPG2-01_1_K16,HEPG2-01,1,K16,945,HEPG2,train
HEPG2-01_1_K17,HEPG2-01,1,K17,242,HEPG2,train
HEPG2-01_1_K18,HEPG2-01,1,K18,692,HEPG2,train
HEPG2-01_1_K19,HEPG2-01,1,K19,399,HEPG2,train
HEPG2-01_1_K20,HEPG2-01,1,K20,660,HEPG2,train
HEPG2-01_1_K21,HEPG2-01,1,K21,541,HEPG2,train
HEPG2-01_1_K22,HEPG2-01,1,K22,320,HEPG2,train
HEPG2-01_1_K23,HEPG2-01,1,K23,398,HEPG2,train
HEPG2-01_1_L02,HEPG2-01,1,L02,673,HEPG2,train
HEPG2-01_1_L03,HEPG2-01,1,L03,508,HEPG2,train
HEPG2-01_1_L04,HEPG2-01,1,L04,877,HEPG2,train
HEPG2-01_1_L05,HEPG2-01,1,L05,222,HEPG2,train
HEPG2-01_1_L06,HEPG2-01,1,L06,1067,HEPG2,train
HEPG2-01_1_L07,HEPG2-01,1,L07,392,HEPG2,train
HEPG2-01_1_L08,HEPG2-01,1,L08,312,HEPG2,train
HEPG2-01_1_L09,HEPG2-01,1,L09,442,HEPG2,train
HEPG2-01_1_L10,HEPG2-01,1,L10,556,HEPG2,train
HEPG2-01_1_L11,HEPG2-01,1,L11,959,HEPG2,train
HEPG2-01_1_L12,HEPG2-01,1,L12,775,HEPG2,train
HEPG2-01_1_L13,HEPG2-01,1,L13,786,HEPG2,train
HEPG2-01_1_L14,HEPG2-01,1,L14,274,HEPG2,train
HEPG2-01_1_L15,HEPG2-01,1,L15,598,HEPG2,train
HEPG2-01_1_L16,HEPG2-01,1,L16,1104,HEPG2,train
HEPG2-01_1_L17,HEPG2-01,1,L17,557,HEPG2,train
HEPG2-01_1_L18,HEPG2-01,1,L18,742,HEPG2,train
HEPG2-01_1_L19,HEPG2-01,1,L19,703,HEPG2,train
HEPG2-01_1_L20,HEPG2-01,1,L20,1015,HEPG2,train
HEPG2-01_1_L21,HEPG2-01,1,L21,360,HEPG2,train
HEPG2-01_1_L22,HEPG2-01,1,L22,40,HEPG2,train
HEPG2-01_1_L23,HEPG2-01,1,L23,339,HEPG2,train
HEPG2-01_1_M02,HEPG2-01,1,M02,238,HEPG2,train
HEPG2-01_1_M04,HEPG2-01,1,M04,687,HEPG2,train
HEPG2-01_1_M05,HEPG2-01,1,M05,1102,HEPG2,train
HEPG2-01_1_M06,HEPG2-01,1,M06,346,HEPG2,train
HEPG2-01_1_M08,HEPG2-01,1,M08,147,HEPG2,train
HEPG2-01_1_M09,HEPG2-01,1,M09,613,HEPG2,train
HEPG2-01_1_M10,HEPG2-01,1,M10,277,HEPG2,train
HEPG2-01_1_M12,HEPG2-01,1,M12,704,HEPG2,train
HEPG2-01_1_M13,HEPG2-01,1,M13,497,HEPG2,train
HEPG2-01_1_M14,HEPG2-01,1,M14,1,HEPG2,train
HEPG2-01_1_M16,HEPG2-01,1,M16,33,HEPG2,train
HEPG2-01_1_M17,HEPG2-01,1,M17,352,HEPG2,train
HEPG2-01_1_M18,HEPG2-01,1,M18,972,HEPG2,train
HEPG2-01_1_M20,HEPG2-01,1,M20,647,HEPG2,train
HEPG2-01_1_M21,HEPG2-01,1,M21,715,HEPG2,train
HEPG2-01_1_M23,HEPG2-01,1,M23,974,HEPG2,train
HEPG2-01_1_N02,HEPG2-01,1,N02,221,HEPG2,train
HEPG2-01_1_N03,HEPG2-01,1,N03,482,HEPG2,train
HEPG2-01_1_N04,HEPG2-01,1,N04,793,HEPG2,train
HEPG2-01_1_N05,HEPG2-01,1,N05,705,HEPG2,train
HEPG2-01_1_N06,HEPG2-01,1,N06,572,HEPG2,train
HEPG2-01_1_N07,HEPG2-01,1,N07,296,HEPG2,train
HEPG2-01_1_N08,HEPG2-01,1,N08,109,HEPG2,train
HEPG2-01_1_N09,HEPG2-01,1,N09,981,HEPG2,train
HEPG2-01_1_N10,HEPG2-01,1,N10,500,HEPG2,train
HEPG2-01_1_N11,HEPG2-01,1,N11,982,HEPG2,train
HEPG2-01_1_N12,HEPG2-01,1,N12,962,HEPG2,train
HEPG2-01_1_N13,HEPG2-01,1,N13,986,HEPG2,train
HEPG2-01_1_N14,HEPG2-01,1,N14,471,HEPG2,train
HEPG2-01_1_N15,HEPG2-01,1,N15,514,HEPG2,train
HEPG2-01_1_N16,HEPG2-01,1,N16,439,HEPG2,train
HEPG2-01_1_N17,HEPG2-01,1,N17,293,HEPG2,train
HEPG2-01_1_N18,HEPG2-01,1,N18,158,HEPG2,train
HEPG2-01_1_N19,HEPG2-01,1,N19,983,HEPG2,train
HEPG2-01_1_N20,HEPG2-01,1,N20,831,HEPG2,train
HEPG2-01_1_N21,HEPG2-01,1,N21,875,HEPG2,train
HEPG2-01_1_N22,HEPG2-01,1,N22,302,HEPG2,train
HEPG2-01_1_N23,HEPG2-01,1,N23,618,HEPG2,train
HEPG2-01_1_O02,HEPG2-01,1,O02,620,HEPG2,train
HEPG2-01_1_O03,HEPG2-01,1,O03,657,HEPG2,train
HEPG2-01_1_O04,HEPG2-01,1,O04,505,HEPG2,train
HEPG2-01_1_O05,HEPG2-01,1,O05,1066,HEPG2,train
HEPG2-01_1_O06,HEPG2-01,1,O06,136,HEPG2,train
HEPG2-01_1_O07,HEPG2-01,1,O07,395,HEPG2,train
HEPG2-01_1_O08,HEPG2-01,1,O08,341,HEPG2,train
HEPG2-01_1_O09,HEPG2-01,1,O09,313,HEPG2,train
HEPG2-01_1_O10,HEPG2-01,1,O10,585,HEPG2,train
HEPG2-01_1_O11,HEPG2-01,1,O11,588,HEPG2,train
HEPG2-01_1_O12,HEPG2-01,1,O12,55,HEPG2,train
HEPG2-01_1_O13,HEPG2-01,1,O13,361,HEPG2,train
HEPG2-01_1_O14,HEPG2-01,1,O14,373,HEPG2,train
HEPG2-01_1_O15,HEPG2-01,1,O15,445,HEPG2,train
HEPG2-01_1_O16,HEPG2-01,1,O16,324,HEPG2,train
HEPG2-01_1_O17,HEPG2-01,1,O17,308,HEPG2,train
HEPG2-01_1_O19,HEPG2-01,1,O19,743,HEPG2,train
HEPG2-01_1_O20,HEPG2-01,1,O20,622,HEPG2,train
HEPG2-01_1_O21,HEPG2-01,1,O21,266,HEPG2,train
HEPG2-01_1_O22,HEPG2-01,1,O22,770,HEPG2,train
HEPG2-01_1_O23,HEPG2-01,1,O23,607,HEPG2,train
HEPG2-01_2_B03,HEPG2-01,2,B03,95,HEPG2,train
HEPG2-01_2_B04,HEPG2-01,2,B04,724,HEPG2,train
HEPG2-01_2_B05,HEPG2-01,2,B05,739,HEPG2,train
HEPG2-01_2_B06,HEPG2-01,2,B06,893,HEPG2,train
HEPG2-01_2_B07,HEPG2-01,2,B07,536,HEPG2,train
HEPG2-01_2_B08,HEPG2-01,2,B08,966,HEPG2,train
HEPG2-01_2_B09,HEPG2-01,2,B09,194,HEPG2,train
HEPG2-01_2_B10,HEPG2-01,2,B10,101,HEPG2,train
HEPG2-01_2_B11,HEPG2-01,2,B11,996,HEPG2,train
HEPG2-01_2_B12,HEPG2-01,2,B12,92,HEPG2,train
HEPG2-01_2_B13,HEPG2-01,2,B13,2,HEPG2,train
HEPG2-01_2_B14,HEPG2-01,2,B14,353,HEPG2,train
HEPG2-01_2_B15,HEPG2-01,2,B15,752,HEPG2,train
HEPG2-01_2_B16,HEPG2-01,2,B16,923,HEPG2,train
HEPG2-01_2_B17,HEPG2-01,2,B17,517,HEPG2,train
HEPG2-01_2_B18,HEPG2-01,2,B18,502,HEPG2,train
HEPG2-01_2_B19,HEPG2-01,2,B19,41,HEPG2,train
HEPG2-01_2_B20,HEPG2-01,2,B20,42,HEPG2,train
HEPG2-01_2_B21,HEPG2-01,2,B21,957,HEPG2,train
HEPG2-01_2_B22,HEPG2-01,2,B22,827,HEPG2,train
HEPG2-01_2_B23,HEPG2-01,2,B23,717,HEPG2,train
HEPG2-01_2_C02,HEPG2-01,2,C02,1080,HEPG2,train
HEPG2-01_2_C04,HEPG2-01,2,C04,661,HEPG2,train
HEPG2-01_2_C05,HEPG2-01,2,C05,22,HEPG2,train
HEPG2-01_2_C06,HEPG2-01,2,C06,130,HEPG2,train
HEPG2-01_2_C08,HEPG2-01,2,C08,327,HEPG2,train
HEPG2-01_2_C09,HEPG2-01,2,C09,285,HEPG2,train
HEPG2-01_2_C10,HEPG2-01,2,C10,333,HEPG2,train
HEPG2-01_2_C12,HEPG2-01,2,C12,164,HEPG2,train
HEPG2-01_2_C13,HEPG2-01,2,C13,917,HEPG2,train
HEPG2-01_2_C14,HEPG2-01,2,C14,709,HEPG2,train
HEPG2-01_2_C16,HEPG2-01,2,C16,146,HEPG2,train
HEPG2-01_2_C17,HEPG2-01,2,C17,364,HEPG2,train
HEPG2-01_2_C18,HEPG2-01,2,C18,232,HEPG2,train
HEPG2-01_2_C20,HEPG2-01,2,C20,1019,HEPG2,train
HEPG2-01_2_C21,HEPG2-01,2,C21,965,HEPG2,train
HEPG2-01_2_C23,HEPG2-01,2,C23,887,HEPG2,train
HEPG2-01_2_D02,HEPG2-01,2,D02,423,HEPG2,train
HEPG2-01_2_D03,HEPG2-01,2,D03,349,HEPG2,train
HEPG2-01_2_D04,HEPG2-01,2,D04,131,HEPG2,train
HEPG2-01_2_D05,HEPG2-01,2,D05,941,HEPG2,train
HEPG2-01_2_D06,HEPG2-01,2,D06,539,HEPG2,train
HEPG2-01_2_D07,HEPG2-01,2,D07,87,HEPG2,train
HEPG2-01_2_D08,HEPG2-01,2,D08,305,HEPG2,train
HEPG2-01_2_D09,HEPG2-01,2,D09,303,HEPG2,train
HEPG2-01_2_D10,HEPG2-01,2,D10,196,HEPG2,train
HEPG2-01_2_D11,HEPG2-01,2,D11,228,HEPG2,train
HEPG2-01_2_D12,HEPG2-01,2,D12,263,HEPG2,train
HEPG2-01_2_D13,HEPG2-01,2,D13,336,HEPG2,train
HEPG2-01_2_D14,HEPG2-01,2,D14,153,HEPG2,train
HEPG2-01_2_D15,HEPG2-01,2,D15,108,HEPG2,train
HEPG2-01_2_D16,HEPG2-01,2,D16,393,HEPG2,train
HEPG2-01_2_D17,HEPG2-01,2,D17,1002,HEPG2,train
HEPG2-01_2_D18,HEPG2-01,2,D18,761,HEPG2,train
HEPG2-01_2_D19,HEPG2-01,2,D19,479,HEPG2,train
HEPG2-01_2_D20,HEPG2-01,2,D20,722,HEPG2,train
HEPG2-01_2_D21,HEPG2-01,2,D21,956,HEPG2,train
HEPG2-01_2_D22,HEPG2-01,2,D22,408,HEPG2,train
HEPG2-01_2_D23,HEPG2-01,2,D23,262,HEPG2,train
HEPG2-01_2_E02,HEPG2-01,2,E02,138,HEPG2,train
HEPG2-01_2_E03,HEPG2-01,2,E03,553,HEPG2,train
HEPG2-01_2_E04,HEPG2-01,2,E04,683,HEPG2,train
HEPG2-01_2_E05,HEPG2-01,2,E05,315,HEPG2,train
HEPG2-01_2_E06,HEPG2-01,2,E06,1040,HEPG2,train
HEPG2-01_2_E07,HEPG2-01,2,E07,747,HEPG2,train
HEPG2-01_2_E08,HEPG2-01,2,E08,206,HEPG2,train
HEPG2-01_2_E09,HEPG2-01,2,E09,787,HEPG2,train
HEPG2-01_2_E10,HEPG2-01,2,E10,563,HEPG2,train
HEPG2-01_2_E11,HEPG2-01,2,E11,63,HEPG2,train
HEPG2-01_2_E12,HEPG2-01,2,E12,117,HEPG2,train
HEPG2-01_2_E13,HEPG2-01,2,E13,409,HEPG2,train
HEPG2-01_2_E14,HEPG2-01,2,E14,499,HEPG2,train
HEPG2-01_2_E15,HEPG2-01,2,E15,25,HEPG2,train
HEPG2-01_2_E16,HEPG2-01,2,E16,457,HEPG2,train
HEPG2-01_2_E17,HEPG2-01,2,E17,783,HEPG2,train
HEPG2-01_2_E18,HEPG2-01,2,E18,844,HEPG2,train
HEPG2-01_2_E19,HEPG2-01,2,E19,952,HEPG2,train
HEPG2-01_2_E20,HEPG2-01,2,E20,951,HEPG2,train
HEPG2-01_2_E21,HEPG2-01,2,E21,694,HEPG2,train
HEPG2-01_2_E22,HEPG2-01,2,E22,473,HEPG2,train
HEPG2-01_2_E23,HEPG2-01,2,E23,475,HEPG2,train
HEPG2-01_2_F02,HEPG2-01,2,F02,1033,HEPG2,train
HEPG2-01_2_F04,HEPG2-01,2,F04,189,HEPG2,train
HEPG2-01_2_F05,HEPG2-01,2,F05,414,HEPG2,train
HEPG2-01_2_F06,HEPG2-01,2,F06,735,HEPG2,train
HEPG2-01_2_F08,HEPG2-01,2,F08,781,HEPG2,train
HEPG2-01_2_F09,HEPG2-01,2,F09,597,HEPG2,train
HEPG2-01_2_F10,HEPG2-01,2,F10,826,HEPG2,train
HEPG2-01_2_F12,HEPG2-01,2,F12,714,HEPG2,train
HEPG2-01_2_F13,HEPG2-01,2,F13,667,HEPG2,train
HEPG2-01_2_F14,HEPG2-01,2,F14,751,HEPG2,train
HEPG2-01_2_F16,HEPG2-01,2,F16,1044,HEPG2,train
HEPG2-01_2_F17,HEPG2-01,2,F17,706,HEPG2,train
HEPG2-01_2_F18,HEPG2-01,2,F18,462,HEPG2,train
HEPG2-01_2_F20,HEPG2-01,2,F20,521,HEPG2,train
HEPG2-01_2_F21,HEPG2-01,2,F21,650,HEPG2,train
HEPG2-01_2_F23,HEPG2-01,2,F23,871,HEPG2,train
HEPG2-01_2_G02,HEPG2-01,2,G02,207,HEPG2,train
HEPG2-01_2_G03,HEPG2-01,2,G03,733,HEPG2,train
HEPG2-01_2_G04,HEPG2-01,2,G04,1046,HEPG2,train
HEPG2-01_2_G05,HEPG2-01,2,G05,483,HEPG2,train
HEPG2-01_2_G06,HEPG2-01,2,G06,466,HEPG2,train
HEPG2-01_2_G07,HEPG2-01,2,G07,584,HEPG2,train
HEPG2-01_2_G08,HEPG2-01,2,G08,975,HEPG2,train
HEPG2-01_2_G09,HEPG2-01,2,G09,849,HEPG2,train
HEPG2-01_2_G10,HEPG2-01,2,G10,299,HEPG2,train
HEPG2-01_2_G11,HEPG2-01,2,G11,75,HEPG2,train
HEPG2-01_2_G12,HEPG2-01,2,G12,991,HEPG2,train
HEPG2-01_2_G13,HEPG2-01,2,G13,934,HEPG2,train
HEPG2-01_2_G14,HEPG2-01,2,G14,920,HEPG2,train
